id,username,created_at,sentiment,body
107108943,rnr12,2018-01-01 20:52:47 EST-0500,Bullish,$TSLA https://www.youtube.com/watch?v=vb25sZbsFtw
107109002,Scorpio244,2018-01-01 20:53:39 EST-0500,,10 Stock Market Predictions for 2018 $spy $aapl $nflx $fb $amzn $googl $tsla $ibb $incy $vrtx $exas $gild $celg  https://mottcapitalmanagement.com/10-stock-market-predictions-for-2018/
107109051,Scorpio244,2018-01-01 20:54:29 EST-0500,,"Bitcoin, AMD, Nvidia, Biotech, Could Apple iPhone Worries Be Overblown $btcusd $btc.x $aapl $amd $nvda $avgo $tsla https://mottcapitalmanagement.com/bitcoin-amd-nvidia-biotech-apple-iphone-worries-overblown/"
107109366,rnr12,2018-01-01 20:59:09 EST-0500,,$TSLA I&#39;ve seen 1k per share 2020 projections. I bet it hits it.
107109490,Scorpio244,2018-01-01 21:00:58 EST-0500,,Tesla&#39;s Stock Price Could Almost Nearly Double In 2018 - 10 Predictions $tsla $amzn  https://mottcapitalmanagement.com/tesla-stock-price-nearly-double-2018-10-predictions/
107109557,marquisdee,2018-01-01 21:01:59 EST-0500,,$TSLA Here comes that lower head and shoulder pattern like I called a couple weeks ago should be retesting 300 then 280
107111143,joel35,2018-01-01 21:24:39 EST-0500,Bullish,"$TSLA 

https://youtu.be/6K_nTNvyTtE"
107111234,tradewithjoe,2018-01-01 21:25:52 EST-0500,,Mentioned to members that break above the cloud would not hold. 300 on deck. $TSLA
107111692,Sliver,2018-01-01 21:32:22 EST-0500,,Its 2018 and the $TSLA games are going to get hott as the assessment takes a new turn that smokes the competition. Billions on the line $$$
107113381,ChartMill,2018-01-01 21:59:06 EST-0500,,$TSLA: The Revenue has been growing by 91.90% on average over the past 5 years. This is a very strong growth! https://www.chartmill.com/analyze.php?utm_source=stocktwits&amp;utm_medium=FA&amp;utm_content=GROWTH&amp;utm_campaign=social_tracking#/TSLA?r=fa&amp;key=b3fb89e7-ce52-4df4-906a-b4ccaf80eec8
